item,classC,classB
http://www.wikidata.org/entity/Q44,http://www.wikidata.org/entity/Q361957,http://www.wikidata.org/entity/Q526314
http://www.wikidata.org/entity/Q44,http://www.wikidata.org/entity/Q1756073,http://www.wikidata.org/entity/Q526314
http://www.wikidata.org/entity/Q154,http://www.wikidata.org/entity/Q901367,http://www.wikidata.org/entity/Q281
http://www.wikidata.org/entity/Q482,http://www.wikidata.org/entity/Q71842123,http://www.wikidata.org/entity/Q1292502
http://www.wikidata.org/entity/Q349,http://www.wikidata.org/entity/Q1164462,http://www.wikidata.org/entity/Q878123
http://www.wikidata.org/entity/Q728,http://www.wikidata.org/entity/Q1261384,http://www.wikidata.org/entity/Q1366029
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q221018,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q244016,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q244179,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q279061,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q385059,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q430291,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q437118,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q445706,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q489766,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q523950,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q594676,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q637022,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q781335,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q790706,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q840205,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q902384,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q939795,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q996884,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q1006819,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q1036568,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q1049353,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q1049383,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q1081995,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q1085160,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q1205336,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q1244999,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q1520225,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q1532304,http://www.wikidata.org/entity/Q780
http://www.wikidata.org/entity/Q780,http://www.wikidata.org/entity/Q1993970,http://www.wikidata.org/entity/Q780
